,emoji,name,group,sub_group,codepoints
3104,🐐,goat,Animals & Nature,animal-mammal,1F410
3105,🐪,camel,Animals & Nature,animal-mammal,1F42A
3106,🐫,two-hump camel,Animals & Nature,animal-mammal,1F42B
3107,🦙,llama,Animals & Nature,animal-mammal,1F999
3108,🦒,giraffe,Animals & Nature,animal-mammal,1F992
3109,🐘,elephant,Animals & Nature,animal-mammal,1F418
3110,🦣,mammoth,Animals & Nature,animal-mammal,1F9A3
3111,🦏,rhinoceros,Animals & Nature,animal-mammal,1F98F
3112,🦛,hippopotamus,Animals & Nature,animal-mammal,1F99B
3113,🐭,mouse face,Animals & Nature,animal-mammal,1F42D
3114,🐁,mouse,Animals & Nature,animal-mammal,1F401
3115,🐀,rat,Animals & Nature,animal-mammal,1F400
3116,🐹,hamster,Animals & Nature,animal-mammal,1F439
3117,🐰,rabbit face,Animals & Nature,animal-mammal,1F430
3118,🐇,rabbit,Animals & Nature,animal-mammal,1F407
3119,🐿️,chipmunk,Animals & Nature,animal-mammal,1F43F FE0F
3120,🐿,chipmunk,Animals & Nature,animal-mammal,1F43F
3121,🦫,beaver,Animals & Nature,animal-mammal,1F9AB
3122,🦔,hedgehog,Animals & Nature,animal-mammal,1F994
3123,🦇,bat,Animals & Nature,animal-mammal,1F987
3124,🐻,bear,Animals & Nature,animal-mammal,1F43B
3125,🐻‍❄️,polar bear,Animals & Nature,animal-mammal,1F43B 200D 2744 FE0F
3126,🐻‍❄,polar bear,Animals & Nature,animal-mammal,1F43B 200D 2744
3127,🐨,koala,Animals & Nature,animal-mammal,1F428
3128,🐼,panda,Animals & Nature,animal-mammal,1F43C
3129,🦥,sloth,Animals & Nature,animal-mammal,1F9A5
3130,🦦,otter,Animals & Nature,animal-mammal,1F9A6
3131,🦨,skunk,Animals & Nature,animal-mammal,1F9A8
3132,🦘,kangaroo,Animals & Nature,animal-mammal,1F998
3133,🦡,badger,Animals & Nature,animal-mammal,1F9A1
3134,🐾,paw prints,Animals & Nature,animal-mammal,1F43E
3135,🦃,turkey,Animals & Nature,animal-bird,1F983
3136,🐔,chicken,Animals & Nature,animal-bird,1F414
3137,🐓,rooster,Animals & Nature,animal-bird,1F413
3138,🐣,hatching chick,Animals & Nature,animal-bird,1F423
3139,🐤,baby chick,Animals & Nature,animal-bird,1F424
3140,🐥,front-facing baby chick,Animals & Nature,animal-bird,1F425
3141,🐦,bird,Animals & Nature,animal-bird,1F426
3142,🐧,penguin,Animals & Nature,animal-bird,1F427
3143,🕊️,dove,Animals & Nature,animal-bird,1F54A FE0F
3144,🕊,dove,Animals & Nature,animal-bird,1F54A
3145,🦅,eagle,Animals & Nature,animal-bird,1F985
3146,🦆,duck,Animals & Nature,animal-bird,1F986
3147,🦢,swan,Animals & Nature,animal-bird,1F9A2
3148,🦉,owl,Animals & Nature,animal-bird,1F989
3149,🦤,dodo,Animals & Nature,animal-bird,1F9A4
3150,🪶,feather,Animals & Nature,animal-bird,1FAB6
3151,🦩,flamingo,Animals & Nature,animal-bird,1F9A9
3152,🦚,peacock,Animals & Nature,animal-bird,1F99A
3153,🦜,parrot,Animals & Nature,animal-bird,1F99C
3154,🐸,frog,Animals & Nature,animal-amphibian,1F438
3155,🐊,crocodile,Animals & Nature,animal-reptile,1F40A
3156,🐢,turtle,Animals & Nature,animal-reptile,1F422
3157,🦎,lizard,Animals & Nature,animal-reptile,1F98E
3158,🐍,snake,Animals & Nature,animal-reptile,1F40D
3159,🐲,dragon face,Animals & Nature,animal-reptile,1F432
3160,🐉,dragon,Animals & Nature,animal-reptile,1F409
3161,🦕,sauropod,Animals & Nature,animal-reptile,1F995
3162,🦖,T-Rex,Animals & Nature,animal-reptile,1F996
3163,🐳,spouting whale,Animals & Nature,animal-marine,1F433
3164,🐋,whale,Animals & Nature,animal-marine,1F40B
3165,🐬,dolphin,Animals & Nature,animal-marine,1F42C
3166,🦭,seal,Animals & Nature,animal-marine,1F9AD
3167,🐟,fish,Animals & Nature,animal-marine,1F41F
3168,🐠,tropical fish,Animals & Nature,animal-marine,1F420
3169,🐡,blowfish,Animals & Nature,animal-marine,1F421
3170,🦈,shark,Animals & Nature,animal-marine,1F988
3171,🐙,octopus,Animals & Nature,animal-marine,1F419
3172,🐚,spiral shell,Animals & Nature,animal-marine,1F41A
3173,🐌,snail,Animals & Nature,animal-bug,1F40C
3174,🦋,butterfly,Animals & Nature,animal-bug,1F98B
3175,🐛,bug,Animals & Nature,animal-bug,1F41B
3176,🐜,ant,Animals & Nature,animal-bug,1F41C
3177,🐝,honeybee,Animals & Nature,animal-bug,1F41D
3178,🪲,beetle,Animals & Nature,animal-bug,1FAB2
3179,🐞,lady beetle,Animals & Nature,animal-bug,1F41E
3180,🦗,cricket,Animals & Nature,animal-bug,1F997
3181,🪳,cockroach,Animals & Nature,animal-bug,1FAB3
3182,🕷️,spider,Animals & Nature,animal-bug,1F577 FE0F
3183,🕷,spider,Animals & Nature,animal-bug,1F577
3184,🕸️,spider web,Animals & Nature,animal-bug,1F578 FE0F
3185,🕸,spider web,Animals & Nature,animal-bug,1F578
3186,🦂,scorpion,Animals & Nature,animal-bug,1F982
3187,🦟,mosquito,Animals & Nature,animal-bug,1F99F
3188,🪰,fly,Animals & Nature,animal-bug,1FAB0
3189,🪱,worm,Animals & Nature,animal-bug,1FAB1
3190,🦠,microbe,Animals & Nature,animal-bug,1F9A0
